Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7,Derivative_8,Derivative_9,Derivative_10
143.46219726562498,4.756727742593519,2.811521413892919,-46.93993901905388,198.85243409337124,-856.6439429040373,4404.615080735265,-25501.797145542674,161980.91948908943,-1102049.8798466644,7581728.715719535
145.21209960937497,5.79102866917799,-14.456717121058203,26.213783310796575,-116.289260905067,763.7233915721584,-4976.971802034461,34087.6529965398,-243440.57445195588,1687112.2432056759,-10827937.404926797
147.34249999999997,0.47269965350947485,-4.813205165693077,-16.566645005199515,164.66887359605732,-1067.202213686304,7563.174933178647,-55469.129491300424,377213.33477204543,-2296263.3183580954,12592246.344878392
147.51639648437498,-1.2979795730891943,-10.90773327229154,44.01164819164891,-227.93288039178648,1715.1343542133156,-12842.777426347331,83299.90130705554,-467534.7315680109,2336165.230088839,-10718776.26240846
147.038896484375,-5.310710393746955,5.28324726948638,-39.840172471478674,403.0297873701508,-3009.459428480552,17801.54371612857,-88696.51447042421,391892.4277612235,-1607052.191367651,6290623.116607747
145.0851953125,-3.3671123406777563,-9.373133115495074,108.42620048169758,-704.0884654074031,3539.362525797823,-14828.080461105848,55472.6528536942,-199309.03433244862,707138.7253901312,-2219496.39560933
143.84650390624998,-6.815295313231625,30.5146369260546,-150.5934707076362,597.9702426862449,-1915.5834278789762,5579.168071008597,-17849.04331694664,60832.764794758376,-109368.36830864797,-1118529.745324909
141.33929687499997,4.410412266674801,-24.885604921938572,69.38748800893126,-106.73351827914892,136.87780428521913,-987.1280098746024,4530.080200662811,20598.39057954055,-520852.4659524054,5305535.6809090795
142.96179687499998,-4.744490165221257,0.6406253910772101,30.122420950136036,-56.37898812992845,-226.26629635212745,679.3953628070482,12107.804616095273,-171012.52352779766,1430945.035455547,-9834739.325485365
141.21639648437497,-4.508817254351537,11.7220447769442,9.381750303086582,-139.61770678788108,23.66929005179862,5133.607758789189,-50804.18697262892,355402.73646263767,-2187053.371670766,13089052.205369242
139.5576953125,-0.19651797242267885,15.173397835653702,-41.980733647677376,-130.9102615907006,1912.2180435485448,-13556.208153871017,79941.17310804731,-449169.23571972095,2628139.839104237,-16396751.30151887
139.485400390625,5.385463144029579,-0.27045099862101635,-90.13992752527163,572.555443667887,-3074.832236501272,15852.505935706971,-85298.9543199271,517669.3796103483,-3403887.866725559,22026604.965933777
141.4666015625,5.285969781792621,-33.43107716385226,120.49144913093778,-558.6121211921374,2756.978788293578,-15527.225712016208,105140.96776269465,-734550.986610901,4699247.259046161,-26666726.922941267
143.41120117187498,-7.012636203004717,10.895249808374402,-85.01046584481968,455.6236947668244,-2955.168329585792,23151.974752748545,-165085.23870365458,994205.4689734294,-5110893.33923679,22744617.84713292
140.83139648437498,-3.004497792076677,-20.378352860341842,82.60412437046746,-631.5219788887416,5561.9672044706795,-37579.490607206084,200662.51363188153,-885987.1165518443,3256383.9640243645,-9211785.48624296
139.72610351562497,-10.5012748543337,10.010006251522046,-149.71982831060615,1414.6114081058217,-8262.754799615754,36240.12277174745,-125273.93169030774,311969.5963730827,-132442.53284585083,-5426491.952840094
135.862900390625,-6.818799348401123,-45.06884051966803,370.6866259781105,-1625.0862101134749,5069.241313639153,-9845.58121183242,-10506.73091409791,263246.7114024208,-2128737.3599779652,14438659.36628454
133.35440429687497,-23.39869921302146,91.29914829488672,-227.14918085385156,239.78345151128516,1447.2543994221924,-13710.791509049479,86336.3221668444,-519871.99898704304,3182948.5789555274,-19406651.504611682
124.74650390624998,10.188380441130118,7.735634579820922,-138.93777870972036,772.1985912036328,-3596.6639189450834,18050.56644248686,-104913.8983011892,651069.3455165506,-3956359.5315698474,22760155.109606463
128.49459960937497,13.034161367461124,-43.37671780951252,145.13820749564698,-550.9401213793745,3043.768376744968,-20545.09983567217,134601.1286912956,-804393.9880306714,4416633.611127407,-22816360.670473512
133.289599609375,-2.9232413401536967,10.01664485661093,-57.54133647632387,568.7996881128726,-4514.351469613596,28971.88816832707,-161318.88210709498,820394.7166898855,-3977036.401892344,19041363.00411428
132.21419921874997,0.7616763721091347,-11.151629850557025,151.70837492513033,-1091.937407780057,6143.810559432082,-30374.012031632832,140487.46780878317,-642675.212356751,3027889.5792036955,-14776545.996883495
132.494404296875,-3.3407789854645595,44.65876233792757,-249.99294844319024,1168.2441874870242,-5030.164012899664,21308.439117453334,-95939.53016775586,471223.11396953603,-2408097.904573841,12062174.498175642
131.265400390625,13.088261546820494,-47.30850383215445,179.78007040132175,-682.2497385792043,2808.772661864766,-13985.741626911436,77413.76566642354,-414666.5974512083,2029328.1091273741,-9106302.161226181
136.08030273437498,-4.315564405609527,18.828888000846355,-71.20558216655846,351.0399786452306,-2336.294152211589,14493.191225429451,-75133.55047639005,331881.4932880684,-1320693.2410827638,5189686.15042762
134.4926953125,2.6111963900215085,-7.36618177487439,57.93480900628397,-508.4346084824775,2995.4529365902463,-13146.897337051283,46958.82780956807,-153974.39820035873,588485.5997916961,-3193596.8408796075
135.45330078125,-0.09867044488654562,13.9468433867316,-129.10783063447087,593.5309438856984,-1841.0203089025001,4128.28999559861,-9685.187755088904,62517.35538845106,-586373.0213579609,4748872.039212022
135.41700195312498,5.032086506329903,-33.54927319793476,89.2400013201585,-83.74257853862959,-322.3072923280282,565.3085366160069,13313.662008730878,-153197.2240267254,1160639.3706220207,-7769274.822567501
