Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,36014.890625,36051.3515625,35505.21875,35993.578125,35993.578125,0
2020-10-16,35993.578125,36293.328125,35960.3203125,35960.3515625,35960.3515625,0
2020-10-19,35960.3515625,36170.6484375,35356.73828125,35413.390625,35413.390625,0
2020-10-20,35413.390625,35881.4296875,35413.390625,35539.05859375,35539.05859375,0
2020-10-21,35539.05859375,35760.62109375,35415.21875,35423.80859375,35423.80859375,0
2020-10-22,35423.80859375,35731.890625,35239.80078125,35660.55859375,35660.55859375,0
2020-10-23,35660.55859375,35795.05859375,35515.3203125,35793.37109375,35793.37109375,0
2020-10-26,35793.37109375,35793.37109375,34742.30859375,35123.5703125,35123.5703125,0
2020-10-27,35123.5703125,35214.640625,35008.51171875,35033.05859375,35033.05859375,0
2020-10-28,35033.05859375,35033.05859375,33821.7109375,33838.7890625,33838.7890625,0
2020-10-29,33838.7890625,34503.66015625,33728.640625,34216.46875,34216.46875,0
2020-10-30,34216.46875,34216.46875,33398.6484375,33724.80859375,33724.80859375,0
2020-11-02,33724.80859375,34337.3203125,33724.80859375,34128.44921875,34128.44921875,0
2020-11-03,34128.44921875,34959.98828125,34128.44921875,34788.76171875,34788.76171875,0
2020-11-04,34788.76171875,35957.6796875,34788.76171875,35544.16015625,35544.16015625,0
2020-11-05,35544.16015625,36408.21875,35544.16015625,36268.859375,36268.859375,0
2020-11-06,36268.859375,36365.76953125,36026.46875,36256.9296875,36256.9296875,0
2020-11-09,36256.9296875,37565.55078125,36256.9296875,36594.01171875,36594.01171875,0
2020-11-10,36594.01171875,36667.16015625,36140.359375,36554.55078125,36554.55078125,0
2020-11-11,36554.55078125,36930.21875,36554.55078125,36865.98046875,36865.98046875,0
2020-11-12,36865.98046875,36865.98046875,36314.30078125,36509.23046875,36509.23046875,0
2020-11-13,36509.23046875,37072.19140625,36509.23046875,36994.94140625,36994.94140625,0
2020-11-16,36994.94140625,37459.19140625,36994.94140625,37456.8984375,37456.8984375,0
2020-11-17,37456.8984375,37506.69140625,37092.30859375,37372.37890625,37372.37890625,0
2020-11-18,37372.37890625,37519.2890625,37003.53125,37004.921875,37004.921875,0
2020-11-19,37004.921875,37240.3203125,36811.3515625,37219.05078125,37219.05078125,0
2020-11-20,37219.05078125,37219.05078125,37022.98828125,37023.1796875,37023.1796875,0
2020-11-23,37023.1796875,37420.51171875,37023.1796875,37319.80078125,37319.80078125,0
2020-11-24,37319.80078125,37957.171875,37319.80078125,37899.7890625,37899.7890625,0
2020-11-25,37899.7890625,37958.25,37714.87109375,37910.78125,37910.78125,0
2020-11-27,37910.78125,38106.37890625,37910.78125,38057.37109375,38057.37109375,0
2020-11-30,38057.37109375,38057.37109375,37516.94140625,37839.6484375,37839.6484375,0
2020-12-01,37839.6484375,38350.51171875,37839.6484375,38194.2890625,38194.2890625,0
2020-12-02,38194.2890625,38239.828125,37919.2890625,38224.5390625,38224.5390625,0
2020-12-03,38224.5390625,38461.69140625,38223.19921875,38305.51171875,38305.51171875,0
2020-12-04,38305.51171875,38704.21875,38304.23046875,38704.21875,38704.21875,0
2020-12-07,38704.21875,38736.94140625,38568.2890625,38692.9296875,38692.9296875,0
2020-12-08,38692.9296875,38925.3515625,38564.87890625,38864.23046875,38864.23046875,0
2020-12-09,38864.23046875,38979.6796875,38306.1484375,38473.76171875,38473.76171875,0
